Old_Taxonomy,New_Taxonomy,Notes
Eukaryota;Chordata;Lepidosauria;,Eukaryota;Chordata;Reptilia;,Assign members of class Lepidosauria to class Reptilia. NCBI taxonomy does not have Reptilia.
Eukaryota;Chordata;class_Crocodylia;,Eukaryota;Chordata;Reptilia;,"Assign members of order Crocodylia to class Reptilia. NCBI taxonomy does not have Reptilia. Because there is no class associated with Crocodylia in NCBI taxonomy, the class for Crocodylia used by MIDORI is class_Crocodylia."
Eukaryota;Chordata;class_Testudines;,Eukaryota;Chordata;Reptilia;,"Assign members of order Testudines to class Reptilia. NCBI taxonomy does not have Reptilia. Because there is no class associated with Testudines in NCBI taxonomy, the class for Testudines used by MIDORI is class_Testudines."
Eukaryota;Chordata;Cladistia;,Eukaryota;Chordata;Actinopterygii;,Assign members of class Cladistia to class Actinopterygii. NCBI taxonomy considers Actinopterygii to be a superclass instead of a class.
Eukaryota;Chordata;Actinopteri;,Eukaryota;Chordata;Actinopterygii;,Assign members of class Actinopteri to class Actinopterygii. NCBI taxonomy considers Actinopterygii to be a superclass instead of a class.
Eukaryota;Chordata;Actinopterygii;order_Embiotocidae;,Eukaryota;Chordata;Actinopterygii;Perciformes;,"Assign members of family Embiotocidae to order Perciformes. Because there is no order associated with Embiotocidae in NCBI taxonomy, the order for Embiotocidae used by MIDORI is order_Embiotocidae. Note that Embiotocidae belongs to class Actinopteri in NCBI taxonomy. Because class Actinopteri was already replaced with class Actinopterygii in a previous record of this spreadsheet, Actinopterygii is used as the class in this record."
Eukaryota;Chordata;Actinopterygii;order_Moronidae;,Eukaryota;Chordata;Actinopterygii;Perciformes;,"Assign members of family Moronidae to order Perciformes. Because there is no order associated with Moronidae in NCBI taxonomy, the order for Moronidae used by MIDORI is order_Moronidae. Note that Moronidae belongs to class Actinopteri in NCBI taxonomy. Because class Actinopteri was already replaced with class Actinopterygii in a previous record of this spreadsheet, Actinopterygii is used as the class in this record."
Eukaryota;Chordata;Mammalia;Rodentia;Hydrochaeridae;,Eukaryota;Chordata;Mammalia;Rodentia;Caviidae;,Assign members of family Hydrochaeridae to family Caviidae.
Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Callosp_rmophilus;Callosp_rmophilus_,Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Callospermophilus;Callospermophilus_,Correct NCBI taxonomy typo: Replace genus Callosp_rmophilus with genus Callospermophilus. Note that this replaces the typo in both the genus name and the genus part of the species binomial.
Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Hesp_rosciurus;Hesp_rosciurus_,Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Hesperosciurus;Hesperosciurus_,Correct NCBI taxonomy typo: Replace genus Hesp_rosciurus with genus Hesperosciurus. Note that this replaces the typo in both the genus name and the genus part of the species binomial.
Eukaryota;Chordata;Mammalia;Rodentia;Spalacidae;Eosp_lax;Eosp_lax_,Eukaryota;Chordata;Mammalia;Rodentia;Spalacidae;Eospalax;Eospalax_,Correct NCBI taxonomy typo: Replace genus Eosp_lax with genus Eospalax. Note that this replaces the typo in both the genus name and the genus part of the species binomial.
Eukaryota;Chordata;Mammalia;Rodentia;Spalacidae;Myosp_lax;Myosp_lax_,Eukaryota;Chordata;Mammalia;Rodentia;Spalacidae;Myospalax;Myospalax_,Correct NCBI taxonomy typo: Replace genus Myosp_lax with genus Myospalax. Note that this replaces the typo in both the genus name and the genus part of the species binomial.
Eukaryota;Chordata;Mammalia;Rodentia;Spalacidae;Nannosp_lax;Nannosp_lax_,Eukaryota;Chordata;Mammalia;Rodentia;Spalacidae;Nannospalax;Nannospalax_,Correct NCBI taxonomy typo: Replace genus Nannosp_lax with genus Nannospalax. Note that this replaces the typo in both the genus name and the genus part of the species binomial.
Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Ammosp_rmophilus;Ammosp_rmophilus_,Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Ammospermophilus;Ammospermophilus_,Correct NCBI taxonomy typo: Replace genus Ammosp_rmophilus with genus Ammospermophilus. Note that this replaces the typo in both the genus name and the genus part of the species binomial.
Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Xerosp_rmophilus;Xerosp_rmophilus_,Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Xerospermophilus;Xerospermophilus_,Correct NCBI taxonomy typo: Replace genus Xerosp_rmophilus with genus Xerospermophilus. Note that this replaces the typo in both the genus name and the genus part of the species binomial.
Eukaryota;Chordata;Mammalia;Chiroptera;Vesp_rtilionidae;,Eukaryota;Chordata;Mammalia;Chiroptera;Vespertilionidae;,Correct NCBI taxonomy typo: Replace family Vesp_rtilionidae with family Vespertilionidae.
Eukaryota;Chordata;Mammalia;Chiroptera;Vespertilionidae;Hesp_roptenus;Hesp_roptenus_,Eukaryota;Chordata;Mammalia;Chiroptera;Vespertilionidae;Hesperoptenus;Hesperoptenus_,"Correct NCBI taxonomy typo: Replace genus Hesp_roptenus with genus Hesperoptenus. Note that this replaces the typo in both the genus name and the genus part of the species binomial. Because family Vesp_rtilionidae was already replaced with family Vespertilionidae in a previous record of this spreadsheet, Vespertilionidae is used as the family in this record."
Eukaryota;Chordata;Mammalia;Chiroptera;Vespertilionidae;Vesp_rtilio;Vesp_rtilio_,Eukaryota;Chordata;Mammalia;Chiroptera;Vespertilionidae;Vespertilio;Vespertilio_,"Correct NCBI taxonomy typo: Replace genus Vesp_rtilio with genus Vespertilio. Note that this replaces the typo in both the genus name and the genus part of the species binomial. Because family Vesp_rtilionidae was already replaced with family Vespertilionidae in a previous record of this spreadsheet, Vespertilionidae is used as the family in this record."
Chordata;Mammalia;order_Chrysochloridae;Chrysochloridae;Chrysosp_lax;Chrysosp_lax_,Chordata;Mammalia;order_Chrysochloridae;Chrysochloridae;Chrysospalax;Chrysospalax_,Correct NCBI taxonomy typo: Replace genus Chrysosp_lax with genus Chrysospalax. Note that this replaces the typo in both the genus name and the genus part of the species binomial.
Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Osp_ranter;Osp_ranter_,Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Osphranter;Osphranter_,Correct NCBI taxonomy typo: Replace genus Osp_ranter with genus Osphranter. Note that this replaces the typo in both the genus name and the genus part of the species binomial.
Eukaryota;Chordata;Aves;Passeriformes;Fringillidae;Spinus;Spinus_sp_nus,Eukaryota;Chordata;Aves;Passeriformes;Fringillidae;Spinus;Spinus_spinus,Correct NCBI taxonomy typo: Replace species Spinus_sp_nus with species Spinus_spinus.
Eukaryota;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera_sp_laea,Eukaryota;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera_spelaea,Correct NCBI taxonomy typo: Replace species Panthera_sp_laea with species Panthera_spelaea.